epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,9,,,1.111095666885376,,
0,19,,,0.5902564525604248,,
0,29,,,0.7643210887908936,,
0,39,,,0.9292246103286743,,
0,49,,,0.5878384113311768,,
0,59,,,0.6854201555252075,,
0,69,,,0.9202083349227905,,
0,79,,,0.6916850209236145,,
0,89,,,0.5449519157409668,,
0,99,,,0.46077361702919006,,
0,109,,,0.5011827945709229,,
0,119,,,0.8188502192497253,,
0,129,,,0.647991955280304,,
0,139,,,0.5635854005813599,,
0,149,,,0.8747526407241821,,
0,159,,,0.7026724219322205,,
0,169,,,0.6843667030334473,,
0,179,,,0.568545401096344,,
0,189,,,0.6674582362174988,,
0,199,,,0.5374119281768799,,
0,209,,,0.5067513585090637,,
0,219,,,0.8265686631202698,,
0,229,,,1.0034617185592651,,
0,239,,,0.5445464253425598,,
0,249,,,0.494780570268631,,
0,259,,,0.5300495028495789,,
0,269,,,0.6492921710014343,,
0,279,,,0.5223480463027954,,
0,289,,,0.4685419797897339,,
0,299,,,0.454845130443573,,
0,309,,,0.6566412448883057,,
0,319,,,0.5458236336708069,,
0,329,,,0.7937746644020081,,
0,339,,,0.5330244898796082,,
0,349,,,0.41852718591690063,,
0,359,,,0.42945659160614014,,
0,369,,,0.5888625383377075,,
0,379,,,0.4152473509311676,,
0,389,,,0.37377744913101196,,
0,399,,,0.6317400932312012,,
0,409,,,0.4607643485069275,,
0,419,,,0.488556832075119,,
0,429,,,0.40831148624420166,,
0,439,,,0.4538991153240204,,
0,449,,,0.45579472184181213,,
0,459,,,0.4279105067253113,,
0,469,,,0.5942202806472778,,
0,479,,,0.40249884128570557,,
0,489,,,0.38868674635887146,,
0,499,,,1.131689190864563,,
0,509,,,0.2607327997684479,,
0,519,,,0.3533335328102112,,
0,529,,,0.34220656752586365,,
0,539,,,0.4298637807369232,,
0,549,,,0.3544635474681854,,
0,559,,,0.41203808784484863,,
0,569,,,0.47934263944625854,,
0,579,,,0.41866230964660645,,
0,589,,,0.45820802450180054,,
0,599,,,0.6823458671569824,,
0,609,,,0.5039952993392944,,
0,619,,,0.704300045967102,,
0,629,,,0.3840935528278351,,
0,639,,,0.17359334230422974,,
0,649,,,0.3692587912082672,,
0,659,,,0.3049623966217041,,
0,669,,,1.030155062675476,,
0,679,,,0.5428299903869629,,
0,689,,,0.6340791583061218,,
0,699,,,0.4686982333660126,,
