epoch,step,train_loss
0,9,0.6258400678634644
0,19,0.696153461933136
0,29,0.6147347688674927
0,39,0.6217432022094727
0,49,0.5005631446838379
0,59,0.714922308921814
0,69,0.6196280121803284
0,79,0.38721007108688354
0,89,0.617405116558075
0,99,0.7323737144470215
0,109,0.3880101144313812
0,119,0.582352876663208
0,129,0.5612874031066895
0,139,0.5819516777992249
0,149,0.4828043580055237
0,159,0.6058809161186218
0,169,0.7163706421852112
0,179,0.5019002556800842
0,189,0.6424538493156433
0,199,0.4735121726989746
0,209,0.5017819404602051
0,219,0.5010446906089783
0,229,0.48785164952278137
0,239,0.29916539788246155
0,249,0.500868022441864
0,259,0.4689783751964569
0,269,0.5061439871788025
0,279,0.5031815767288208
0,289,0.6943128108978271
0,299,0.45015445351600647
0,309,0.6102065443992615
0,319,0.7668588757514954
0,329,0.52504962682724
0,339,0.44610825181007385
0,349,0.4706474542617798
0,359,0.5689221024513245
0,369,0.4387867748737335
0,379,0.400135338306427
0,389,0.45263445377349854
0,399,0.3515107333660126
0,409,0.42069560289382935
0,419,0.3037245571613312
0,429,0.6296537518501282
0,439,0.411732017993927
0,449,0.27446550130844116
0,459,0.5288802981376648
0,469,0.5626025199890137
0,479,0.6702976226806641
0,489,0.5254165530204773
0,499,0.35174959897994995
0,509,0.24124665558338165
0,519,0.5822832584381104
0,529,0.3510594367980957
0,539,0.42430371046066284
0,549,0.33005020022392273
0,559,0.34277692437171936
0,569,0.5706849098205566
0,579,0.4784319996833801
0,589,0.36609283089637756
0,599,0.3399255573749542
0,609,0.4993426501750946
0,619,0.2173377275466919
0,629,0.44445306062698364
0,639,0.316910058259964
0,649,0.37162458896636963
0,659,0.28192514181137085
0,669,0.5957193374633789
0,679,0.3954077363014221
0,689,0.39044445753097534
0,699,0.37144991755485535
0,709,0.7303897142410278
0,719,0.22723205387592316
0,729,0.39208531379699707
0,739,0.23806846141815186
0,749,0.7988457083702087
0,759,0.8020183444023132
0,769,0.3680124282836914
0,779,0.47301235795021057
0,789,0.3109323978424072
0,799,0.28322309255599976
0,809,0.6264283061027527
0,819,0.8252484202384949
0,829,0.4673587679862976
0,839,0.44040489196777344
0,849,0.3356020748615265
0,859,0.5353361368179321
0,869,0.3623059391975403
0,879,0.5653687715530396
0,889,0.4140041768550873
0,899,0.614839494228363
0,909,0.29432305693626404
0,919,0.5246910452842712
0,929,0.37049999833106995
0,939,0.47132474184036255
0,949,0.20596225559711456
0,959,0.26290327310562134
0,969,0.24437136948108673
0,979,0.3514213263988495
0,989,0.4564233720302582
0,999,0.5082553625106812
0,1009,0.2571716606616974
0,1019,0.3180992007255554
0,1029,0.5516438484191895
0,1039,0.6137006878852844
0,1049,0.42004862427711487
0,1059,0.45792528986930847
0,1069,0.3436110317707062
0,1079,0.5243256688117981
0,1089,0.13853558897972107
0,1099,0.24265988171100616
0,1109,0.24564506113529205
0,1119,0.5697147250175476
0,1129,0.567905843257904
0,1139,0.31586870551109314
0,1149,0.5070682764053345
0,1159,0.32383158802986145
0,1169,0.5220798850059509
0,1179,0.16554808616638184
0,1189,0.350395143032074
0,1199,0.18907982110977173
0,1209,0.6171760559082031
0,1219,0.2490922510623932
0,1229,0.3836820423603058
0,1239,0.42428627610206604
0,1249,0.493157297372818
0,1259,0.37603652477264404
0,1269,0.548231303691864
0,1279,0.2255183458328247
0,1289,0.5933302640914917
0,1299,0.5406363010406494
0,1309,0.3697768747806549
0,1319,0.2882436215877533
0,1329,0.2408151924610138
0,1339,0.23609206080436707
0,1349,0.192073792219162
0,1359,0.5261234045028687
0,1369,0.2767786383628845
0,1379,0.2978213131427765
0,1389,0.27322256565093994
0,1399,0.236672043800354
0,1409,0.40481486916542053
0,1419,0.27058151364326477
0,1429,0.25134405493736267
0,1439,0.3569130599498749
0,1449,0.37159594893455505
0,1459,0.2729594111442566
0,1469,0.25578343868255615
0,1479,0.3644048273563385
0,1489,0.45230913162231445
0,1499,0.28431883454322815
0,1509,0.44947367906570435
0,1519,0.39420798420906067
0,1529,0.38149839639663696
0,1539,0.45333606004714966
0,1549,0.23169994354248047
0,1559,0.2550366222858429
0,1569,0.286499559879303
0,1579,0.5317642092704773
0,1589,0.25197628140449524
0,1599,0.9138156771659851
0,1609,0.2412356287240982
0,1619,0.3504014015197754
0,1629,0.1897987276315689
0,1639,0.28274238109588623
0,1649,0.28947243094444275
0,1659,0.19858720898628235
0,1669,0.22329658269882202
0,1679,0.361747145652771
0,1689,0.12174337357282639
0,1699,0.33919739723205566
0,1709,0.5898909568786621
0,1719,0.20237800478935242
0,1729,0.19498243927955627
0,1739,0.17355169355869293
0,1749,0.277295857667923
0,1759,0.2876879870891571
0,1769,0.16613644361495972
0,1779,0.23451660573482513
0,1789,0.2296576201915741
0,1799,0.19661998748779297
0,1809,0.6230300664901733
0,1819,0.21480727195739746
0,1829,0.3524590730667114
0,1839,0.250479519367218
0,1849,0.19398482143878937
0,1859,0.18669171631336212
0,1869,0.30439242720603943
0,1879,0.2732732892036438
0,1889,0.2836335599422455
