epoch,step,train_loss,val_acc,val_loss
0,99,0.6528621912002563,,
0,199,0.33971107006073,,
0,299,0.26091769337654114,,
0,399,0.6212743520736694,,
0,499,0.12102288752794266,,
0,599,0.28453224897384644,,
0,699,0.21704308688640594,,
0,799,0.1403069645166397,,
0,899,0.26696357131004333,,
0,999,0.09128959476947784,,
0,1099,0.13386636972427368,,
0,1199,0.16209422051906586,,
0,1299,0.40463489294052124,,
0,1399,0.1114095151424408,,
0,1499,0.10245617479085922,,
0,1599,0.07023550570011139,,
0,1699,0.020209576934576035,,
0,1799,0.07534002512693405,,
0,1890,,0.9663909077644348,0.09156834334135056
1,1899,0.15894708037376404,,
1,1999,0.05673236772418022,,
1,2099,0.035715870559215546,,
1,2199,0.00927820336073637,,
1,2299,0.0904945582151413,,
1,2399,0.011311440728604794,,
1,2499,0.037844736129045486,,
